Candidato,VideoID,Comentario,FechaHora												
César Acuña,9vrp9uVxxhk,Aliaga FUJIKEIKO tiene los últimos 12 años de perdidas consecutivos en sus empresas y habla de donar que cosa dona si solo tiene perdidas cada año Y debe millones a la sunat y DE SOTO dice que descapitaliza a los pueblos ES un ladrón con corbata y esta vinculado a ORELLANA Y ES TOPO DEL FUJIMORISMO IGUAL ESTA DE SOTO AMBOS SON TOPOS O SATELITES: CLARÍSIMO,2021-03-16T04:29:51Z												
César Acuña,9vrp9uVxxhk,Carlos alvarez lo maximo..jajaj.caje de risa,2021-03-15T01:43:34Z												
César Acuña,9vrp9uVxxhk,SE IMAGINAN SI SERIA PRESIDENTE ESTARIAMOS LIBRE DEL ESTRES. Y SERIAMOS FELICES.,2021-02-22T05:53:08Z												
César Acuña,9vrp9uVxxhk,que bien imita Carlos Álvarez a cesar acuña JAJAJAJA (por cierto..carlos es el del lado izquierdo ¿verdad?),2021-02-12T22:37:19Z												
César Acuña,9vrp9uVxxhk,Jjajaja... a la derecha pablo marmol .. a la izquierda el abuelo monters jajajajajaj un cague de risa,2021-02-08T01:34:24Z												
César Acuña,9vrp9uVxxhk,JAJAJAJA BUENA CARLOS,2021-02-01T01:28:56Z												
César Acuña,9vrp9uVxxhk,Ajajajajjajajajajajaja,2021-01-16T04:52:42Z												
"César Acuña,9vrp9uVxxhk,""De los dos, no se sabe quien es el chistoso,"",2021-01-12T12:50:39Z"												
César Acuña,9vrp9uVxxhk,A acuña le ponen la musica de trujillo pero el nacio en la puna.,2020-11-08T20:21:50Z												
"César Acuña,9vrp9uVxxhk,""He pedido que se acabe, en otras palabras que se termine :v"",2020-03-12T15:16:19Z"												
César Acuña,9vrp9uVxxhk,Jajaja igualito habla mejor imitacion,2019-01-29T21:09:41Z												
César Acuña,9vrp9uVxxhk,Mr Amlo va hacer lo mismo con los expresidentes,2018-11-12T18:57:45Z												
César Acuña,9vrp9uVxxhk,no jodas es mas chato que alvarez jajaj,2018-11-04T21:02:38Z												
César Acuña,9vrp9uVxxhk,igualitos cmrw,2018-08-18T01:37:59Z												
"César Acuña,9vrp9uVxxhk,""Lo mejor que dijo fue su propuesta de máximo dos periodo de gobierno para presidentes, alcaldes, congresistas y también quitarles la pensión a los ex presidentes corruptos, que lo son todos rateros, creo que ningún otro candidato dijo eso,"",2018-03-10T17:12:06Z"												
César Acuña,9vrp9uVxxhk,Jajaja ????????,2017-12-23T23:53:25Z												
César Acuña,9vrp9uVxxhk,por lo menos no a la rehelecion esta bien jajajjaa,2016-10-29T01:15:21Z												
César Acuña,9vrp9uVxxhk,Porque todos insultan a acuña?,2016-03-22T00:46:25Z												
César Acuña,9vrp9uVxxhk,te excluyeron...jiji,2016-03-10T06:18:43Z												
César Acuña,9vrp9uVxxhk,MANOLO ROJAS hace una MEJOR imitacion......,2016-02-29T15:17:52Z												
César Acuña,9vrp9uVxxhk,Si claro con 100 000 soles mas al presupuesto al año adicional vas a solucionar los problemas del pais xDD Que tal imbbbbb..,2016-02-29T14:41:18Z												
César Acuña,9vrp9uVxxhk,Porque le ponen marinera Trujillana a este engendro...pongale un huayno..¡¡¡,2016-02-26T17:12:42Z												
César Acuña,9vrp9uVxxhk,Acuña mediocre con oscuros origenes  Guzmán  un improvisado desconocido yo no arriesgaría por ese fulano más seguro es  ppk,2016-02-21T21:56:15Z												
César Acuña,9vrp9uVxxhk,.-. Qué le pasó a su voz? Suena mejor...,2016-02-21T21:15:41Z												
"César Acuña,9vrp9uVxxhk,""GRACIAS    TODOPODEROZO   """" JEHOVA """"   POR  UTILIZAR    HA  ESTE  HUMILDE  HOMBRE   PARA  QUE  LE  CORTES  EL  SUELDO   VITALICIO  HA  TODOS  LOS  EX- PRESIDENTES   DEL  PERU  ,  NI  SIQUIERA  SABEN  CANTAR  EL  HIMNO  NACIONAL      """"   VIVA  EL  DIOS  DE  JACOB----ISRAEL   """"  JEHOVA-YAWEH    VIVA"""" VIVA """""",2016-02-21T19:23:35Z"												
"César Acuña,9vrp9uVxxhk,""Carlos Alvarez es una mercaderia, recuerden que se vendio al Fujimontesinismo, ahora se vendio al Plagismo!!!!"",2016-02-17T03:39:08Z"												
"César Acuña,9vrp9uVxxhk,""Jajajaja!!!! Que buen imitador es el gran Carlos Alvarez. "												
Lo calca casi igual. 												
Tengo un conocido que tiene esa forma de hablar y alguna vez lo intente imitar y que difícil me resultaba. 												
Sin duda es el mejor imitador												
"."",2016-02-16T21:55:19Z"												
César Acuña,9vrp9uVxxhk,vamos chato... esta vez somos,2016-02-13T18:55:05Z												
César Acuña,9vrp9uVxxhk,Es un programa comico y nada mas buena Carlos,2016-02-11T04:47:54Z												
"César Acuña,9vrp9uVxxhk,""si es mafioso, cómo se demuestra? tmr me jode ser niño"",2016-02-10T14:39:21Z"												
César Acuña,9vrp9uVxxhk,??????????????,2016-02-10T14:35:43Z												
César Acuña,9vrp9uVxxhk,Este señor no sirve para nada más que dar risa!,2016-02-10T05:29:31Z												
César Acuña,9vrp9uVxxhk,tanto adoran al acuña...,2016-02-09T02:20:35Z												
"César Acuña,9vrp9uVxxhk,""ACLARO ESTE TIPO LLAMADO CESAR ACUÑA NO TIENE NADA DE NORTEÑO LA MARINERA NO TIENE NADA QUE VER CON SU PROPIA CULTURA!!!! NO ES COSTEÑO ES UN PAISANO CHOTANO QUE HA LLEGADO A LA COSTA CON TODA SU FAMILIA HACER PLATA COMO CANCHA EN TIERRA AJENA!!!!! LOS COSTEÑOS EN EL NORTE TENEMOS UNA FRASE MUY POPULAR """"AL CHOTANO NI LA MANO""""..............."",2016-01-25T06:36:23Z"												
"César Acuña,9vrp9uVxxhk,""Acuña (el enano) no sabe ni lo que habla, quieren a este tipo de presidente del Perú? No lo permitamos!!! Vamos Julio Guzmán!!!"",2016-01-24T00:06:17Z"												
César Acuña,9vrp9uVxxhk,Carlos Álvarez imita de la ptm,2016-01-23T04:39:03Z												
César Acuña,9vrp9uVxxhk,este no sabe lo que habla....tremendo brutaso,2016-01-20T14:52:06Z												
"César Acuña,9vrp9uVxxhk,""Alvarez habrá recibido dinero? Yo creo que si, en todo el sketch apoya a este delincuente."",2016-01-18T07:26:23Z"												
"César Acuña,9vrp9uVxxhk,""Acuña diciendo que no serán corruptos y delincuentes. Qué tal caradura, tremendo mafioso amigo cercano de los Sanchez Paredes."",2016-01-18T07:24:54Z"												
César Acuña,9vrp9uVxxhk,Quien sea presidente. El sueldo para los peruanos. Seguira igual.... Como dicen muchos.. Mas aumento y mas descuento..,2016-01-10T14:27:45Z												
César Acuña,9vrp9uVxxhk,acuña presidente,2015-12-18T23:20:19Z												
César Acuña,9vrp9uVxxhk,al señor Acuña tiene buen sentido de humor jajajaja y correa gruesa. Muy bien!,2015-12-10T01:37:08Z												
"César Acuña,9vrp9uVxxhk,""ESE ACUÑA NI HABLAR PUEDE. SE LE VE ATOLONDRADO, NO DA PARA PRESIDENTE. NI PARA ALCALDE DABA. ES SÓLO UN VIVAZO, UN NARCO, AMBICIOSO, ARRIBISTA, LADRÓN, NEGOCIANTE."",2015-12-05T04:55:28Z"												
César Acuña,3InBOM4QU-w,BIEN NECHO SE HIZO JUSTICIA. NI HABLAR SABES.,2025-06-25T02:58:53Z												
"César Acuña,3InBOM4QU-w,""Si no sabe ni hablar español, q lo van a dejar entrar"",2025-06-04T02:52:50Z"												
"César Acuña,3InBOM4QU-w,""La DEA también te kiere agarrar, eso no dices"",2025-06-04T01:30:53Z"												
César Acuña,3InBOM4QU-w,Tanto le CUESTA decir VISA ESE tipo DEBE tener un cerebro del tamano de un frejol,2025-05-20T10:01:34Z												
César Acuña,3InBOM4QU-w,es como cuando chinolin mandaba plata a sus hijas a USA y luego decían que el gobierno de USA las comenzó a tratar mal o investigar,2025-03-22T16:38:27Z												
César Acuña,3InBOM4QU-w,EL NARCOTRAFICANTE CESAE ACUÑA Y SU HIJO CRIMINALES,2025-03-03T13:15:14Z												
César Acuña,3InBOM4QU-w,¿Y al pais le deberia importar su lloriqueo?,2024-09-20T12:41:24Z												
César Acuña,3InBOM4QU-w,Lavar activos es un delito grave en USA...Capone cayó por defraudación tributaria y no por sus crímenes.,2024-09-17T15:58:09Z												
César Acuña,3InBOM4QU-w,Ese enano es el lider de mafias y corrupción en Perú. En mi futuro gobierno voy a embargar todos los bienes provenientes de enriquecimiento ilicito de la clase alta hasta el narco basurero.,2024-09-15T09:23:45Z												
"César Acuña,3InBOM4QU-w,""Solo el peru aguanta criminales como los acuña,"												
												
"Ni keiko esta marginada"",2024-09-14T14:19:37Z"												
"César Acuña,3InBOM4QU-w,""En Estados Unidos, si una persona ha cometido delitos como narcotrafico, pornografia, drgas, tráfico, lavado de activos."												
Asi sea que la familia no tenga la culpa, los agentes tienen toda la libertad en tratarlos como p3rros.												
"Asi que antes que vaya a un país ajeno, tómese la molestia de  pensar 2 veces antes de pisar suelo ajeno."",2024-09-14T07:48:14Z"												
César Acuña,3InBOM4QU-w,Todo se paga pendejo o jala te quiten todas las vidas del mundo para que así cuando te toque ir a juicio no te fugues,2024-09-13T11:30:50Z												
César Acuña,3InBOM4QU-w,Esta bien carajo es un delincuente mas,2024-09-12T14:57:55Z												
"César Acuña,3InBOM4QU-w,""ESO SIGNIFICA QUE LA PLATA COMO CANCHA NO LO ES TODO EN LA VIDA , NI POR SU PLATA LE DIERON LA VISA ,  PEOR AUN SI ES MAL GANADA"",2024-09-12T13:57:00Z"												
"César Acuña,3InBOM4QU-w,""Sí USA le ha quitado la visa es porque sabe su historia, en Perú con dinero no pasa nada, no sé investiga"",2024-09-12T05:23:50Z"												
"César Acuña,3InBOM4QU-w,""Abuso para ti es que las autoridades de USA no reciban sobornos, coimas, porque todo lo quieres solucionar con dinero."",2024-09-12T05:13:11Z"												
César Acuña,3InBOM4QU-w,full lavanderia del nark0,2024-09-12T03:53:22Z												
César Acuña,3InBOM4QU-w,El delincuente petipan,2024-09-12T03:35:46Z												
César Acuña,3InBOM4QU-w,esta catalogado como narco,2024-09-12T03:16:27Z												
César Acuña,3InBOM4QU-w,QUEDATE EN TRUJILLO DONDE PERTENECES Y HAS ALGO QUE LA DELINCUENCIA ESTA MATANDO CIUDADDAN9S,2024-09-12T02:48:34Z												
César Acuña,3InBOM4QU-w,Pero si fuera al reves pucha ahi si hay sanciones restricciones de europa no como la clase dominante se le puede cerrar la puertas,2024-09-12T01:21:06Z												
"César Acuña,3InBOM4QU-w,""JA...?????? NI AQUI NI TE INVESTIGAN ?????? PORQUE SERA?? QUE CADA INVESTIGACIÓN QUE TE HACEN, TE BLINDAN TUS COLEGAS EN EL CONGRESO! QUE FAVORES Y INTERESES! EL LIDER DEL CLAN ACUÑA  """"EL YODA ANDINO """"??????"												
"AL MENOS EN GRINGOLANDIA NO TIENES MUCHO PODER PORQUE HAY OTROS MAS PODEROSOS..."",2024-09-11T23:49:09Z"												
"César Acuña,3InBOM4QU-w,""ABUSADOR ABUSADO, NO LO CREO. USA DICE QUE ES UN LAVANDERO DE DINERO DE OSCURA PEOCEDENCIA ??????????????????????????????"",2024-09-11T20:59:29Z"												
César Acuña,3InBOM4QU-w,Anda a dormir lo cho bstia de m..,2024-09-11T20:56:06Z												
César Acuña,3InBOM4QU-w,Plata como cancha????????????,2024-09-11T18:59:07Z												
"César Acuña,3InBOM4QU-w,""Son de los hipócritas que """"odian"""" a los EEUU pero se mueren por estar allá......"",2024-09-11T18:46:36Z"												
César Acuña,3InBOM4QU-w,A la edad de piedra envien a marmol xd,2024-09-11T18:14:39Z												
César Acuña,3InBOM4QU-w,Aca en.peru eres alguien x dinero pero en eeuu ni como moscas los conocen,2024-09-11T17:05:55Z												
"César Acuña,3InBOM4QU-w,""ja ja  y todavia tiene cara de decir que EU  a cometido una injusticia? "												
para ellos su plata como cancha no cuenta,  tiene que demostyrar su procedencia.												
solo en Peru dejan  de gobernadores a estos corruptos, no fue Acuna que le dio  diploma de maestria a 												
Castillo  y esposa , no fue acuna que dio clases a profesores  sin maestria, sin haber pisado una universidad?												
todos fue un fraude  de 2 mil ahora ganan 5 mil y asi cuantas  maestrias a repartido sin estudios,												
por eso andamos mal en peor, con maestrias compradas o falsificadas, me vengo a enterar la nueva Fiscal tambien												
" tiene maestria bamba.. eso es Peru./"",2024-09-11T16:34:55Z"												
"César Acuña,3InBOM4QU-w,""Sería mejor que no pueda salir, que se quede allá!!"",2024-09-11T16:30:27Z"												
César Acuña,3InBOM4QU-w,Estados unidos sabe que hace su familia de traficantes de terrenos,2024-09-11T16:24:43Z												
"César Acuña,3InBOM4QU-w,""Por fin se hizo justicia, porque en vez de viajar a otro país, no haces que Trujillo se vuelva una ciudad visitable, destruyes, coimeas, etc, etc"",2024-09-11T16:24:31Z"												
César Acuña,3InBOM4QU-w,Tu cometes abusos contra el pueblo,2024-09-11T16:04:11Z												
"César Acuña,oaO2IQPnCPY,""El más grande,, Carlos Álvarez ??"",2024-10-24T21:35:20Z"												
César Acuña,oaO2IQPnCPY,Eres la muerte mi hermano cuídate mucho,2021-06-07T15:55:37Z												
"César Acuña,oaO2IQPnCPY,""Este tipo es un chiste de verlo nada más , que siga soñando que algún día va a ser presidente ??????"",2021-02-17T15:41:13Z"												
César Acuña,oaO2IQPnCPY,No da risa no pasa nada JAJAJA,2020-11-25T13:45:47Z												
César Acuña,oaO2IQPnCPY,excelente el chiste del pollito,2016-06-18T16:38:38Z												
César Acuña,oaO2IQPnCPY,Tv Basura.,2016-03-30T18:21:37Z												
"César Acuña,oaO2IQPnCPY,""Las piernas de Cristiano Ronaldo, los brazos de Nicola Porchela, la cabeza de Pedro Picapiedra... ¡¡Todo plagiado, pues!! XD"",2016-03-07T14:08:28Z"												
"César Acuña,oaO2IQPnCPY,""""""Acuña, mas que una raza diferente, es una mutación diferente!"",2016-03-06T06:45:02Z"												
César Acuña,oaO2IQPnCPY,oh verdad despues q 'salio eso lodel plagio mi tio acuña de fue en picada ...,2016-02-27T18:15:36Z												
César Acuña,oaO2IQPnCPY,Mala imitación!,2016-02-27T04:20:50Z												
César Acuña,oaO2IQPnCPY,aaahah,2016-02-26T17:57:23Z												
César Acuña,oaO2IQPnCPY,pesima imitacion......,2016-02-24T11:07:28Z												
César Acuña,oaO2IQPnCPY,Carlos Alvarez da rienda suelta a su lascivia y cree q eso es hacer chiste. Patético.,2016-02-23T21:26:21Z												
César Acuña,oaO2IQPnCPY,que imite jorge Benavides.Fuiste Carlos Alvarez,2016-02-23T00:19:49Z												
"César Acuña,oaO2IQPnCPY,""no pasa nada con su imitación,la de Manolo rojas lo destruye"",2016-02-19T03:09:47Z"												
"César Acuña,oaO2IQPnCPY,""no pasa nada con la personificación de acuña carlitos,debes estudiarla mas y esos chistes tannpal gato!"",2016-02-19T00:57:41Z"												
César Acuña,oaO2IQPnCPY,jajajaja,2016-02-18T22:44:11Z												
César Acuña,oaO2IQPnCPY,jajaja. estudiantes sin futuro profesional.,2016-02-18T14:42:37Z												
César Acuña,oaO2IQPnCPY,Si Amenos así hablara Cesar Acuña jajajajajja,2016-02-17T05:23:16Z												
César Acuña,oaO2IQPnCPY,jajaja Acuña es una vergüenza,2016-02-12T23:33:29Z												
César Acuña,oaO2IQPnCPY,buena alvarez,2016-02-08T00:28:30Z												
César Acuña,oaO2IQPnCPY,Como quisiera que lo imite a Julio guzman xd,2016-02-06T22:32:39Z												
César Acuña,oaO2IQPnCPY,hasta el pincho estas Carlos Álvarez no das risa estas hasta las webas mejor que cuente los chistes el CHATO BARRAZA,2016-02-06T20:51:14Z												
César Acuña,oaO2IQPnCPY,hasta el pincho estas Carlos Álvarez no das risa estas hasta las webas mejor que cuente los chistes el CHATO BARRAZA,2016-02-06T20:51:11Z												
César Acuña,oaO2IQPnCPY,se rie de sus propios chistes.,2016-02-03T18:50:27Z												
César Acuña,oaO2IQPnCPY,jjajjajajajjajaj,2016-01-31T03:14:55Z												
César Acuña,oaO2IQPnCPY,1:39 jajajajajajajajajaja,2016-01-30T14:35:19Z												
"César Acuña,oaO2IQPnCPY,""Pese a su narrativa de pujante self-made-man, César Acuña es un candidato muy vulnerable y sus debilidades están plenamente identificadas: desde el mañoso descaro con que dispone de la plataforma de su consorcio universitario para ponerla al servicio de su candidatura, hasta las irregularidades advertidas en su gestión como alcalde regional, pasando por la desvergonzada estrategia de captación de adhesiones que expuso en el vídeo de la «plata como cancha», y terminando con las denuncias de su ex esposa Rosa Núñez, quien lo acusa de comprar encuestadoras y de violencia doméstica. Esa última acusación triangula con otras dos que, de probarse, comprometerían seriamente al candidato presidencial. Una señala que Acuña, mientras fue alcalde de Trujillo, mantuvo una relación con Tania Baca Romero, su gerente de desarrollo social, lo cual configuraría un evidente caso de conflicto de intereses. La otra acusación es más delicada y se remonta a 1989. En esa época, Acuña dirigía una academia preuniversitaria y —según constó en una denuncia, que luego fue retirada de la comisaría— tuvo relaciones sexuales con una menor de 16 años, quien quedó embarazada. «Esa relación existió, él siempre le pasaba plata a la chica», ha detallado Rosa Núñez, quien viene demostrando en esta campaña que si hay algo más peligroso que una Primera Dama con ambición es una ex esposa con rabia."												
"Como una manera de amortiguar el impacto que esos «ataques» pudieran tener en su imagen, César Acuña ha optado por incorporar a su equipo a varias figuras femeninas tránsfugas: Beatriz Merino, Anel Townsend, Marisol Espinoza."",2016-01-26T15:31:03Z"												
"César Acuña,oaO2IQPnCPY,""MUY BUENA IMITACION, SE LO MERECE ESE CHATO ODIOSO!!!!!! LO ABSURDO QUIERE SER PRESIDENTE SOLO QUIERE SER PRESIDENTE PARA LLENAR MAS SUS ARCAS !!!!"",2016-01-25T06:32:33Z"												
César Acuña,oaO2IQPnCPY,no se parece mi mier...,2016-01-22T22:00:31Z												
"César Acuña,oaO2IQPnCPY,""no da risa, Benavides esta en otra categoria"",2016-01-22T19:03:27Z"												
César Acuña,oaO2IQPnCPY,es mas malo contando chistes,2016-01-20T19:52:27Z												
"César Acuña,oaO2IQPnCPY,""Eres bueno Alvarez, pero en esta ocasión no pasó nada."",2016-01-20T19:09:22Z"												
César Acuña,oaO2IQPnCPY,mejor imitador es JB.,2016-01-19T18:46:55Z												
"César Acuña,oaO2IQPnCPY,""Carlos Álvarez, cuánto te pagó Acuña? En todo el sketch le pásala franela. Vendido."",2016-01-18T07:28:09Z"												
César Acuña,oaO2IQPnCPY,jajajaja,2016-01-17T06:12:13Z												
César Acuña,oaO2IQPnCPY,César Acuña dueño y fundador de la UCV: Universidad de las cabezas vacías. Estudiantes estafados sin futuro profesional.,2016-01-09T04:02:18Z												
César Acuña,oaO2IQPnCPY,que chistes mas malo,2016-01-04T15:20:47Z												
César Acuña,oaO2IQPnCPY,El mejor Imitador del Perú. Carlos Alvarez.,2016-01-03T12:41:45Z												
César Acuña,oaO2IQPnCPY,tiene plata como cancha xd,2015-12-18T05:09:09Z												
César Acuña,oaO2IQPnCPY,el mejor cómico del Perú ! number one ! ??,2015-11-06T19:00:05Z												
César Acuña,oaO2IQPnCPY,que buena Carlos Alvarez,2015-07-13T19:12:55Z												
"César Acuña,CjcTxdDINCY,""Exitosa Perú: La voz de los que no tienen voz"												
?? http://bit.ly/ExitosaNoticiasYouTube ??												
"¡Mantente siempre informado activando la ?? de notificaciones!"",2021-03-13T01:25:26Z"												
"César Acuña,CjcTxdDINCY,""Señor, no hay algo bueno que hiciste por la región La Libertad. Solo te alineaste al partido naranja."",2025-07-07T18:10:23Z"												
César Acuña,CjcTxdDINCY,Seria caer nuevamente tenerlo como Presidente.,2025-06-25T14:51:59Z												
"César Acuña,CjcTxdDINCY,""No es eres bruto, eres recontra."",2025-06-25T03:37:51Z"												
"César Acuña,CjcTxdDINCY,""Bruto=ignorancia"												
Don dinero = poder												
"Presidente=sueño imposible"",2025-06-16T00:37:25Z"												
César Acuña,CjcTxdDINCY,No es bruto es sinvergüenza,2025-06-15T18:33:13Z												
"César Acuña,CjcTxdDINCY,""Bruto porque el dinero que tienes no es de tu esfuerzo de tu trabajo, bruto nomas chato"",2025-06-15T02:07:43Z"												
César Acuña,CjcTxdDINCY,No eres bruto ...eres un perfecto animal ...las universidades son producto del dinero  del narcotráfico que tu padre o tu viejo se encargó de hacerlo o ya se olvidaron que estuvo 12 años preso ....agradece solo a tu padre animal del dinero mal habido o sino busquen en las noticias de quien fue o que hizo el padre de cesarito Acuña y se llevarán sorpresa...el gobierno debería de confiscar todos esos inmuebles porque es producto del lavado de activos...pero como tenemos una justicia coimera no lo van hacer....,2025-06-14T00:49:36Z												
