Candidato,VideoID,Comentario,FechaHora
Keiko Fujimori,FZPFTXLAFQQ,"Con la tesis de la jueza que condenó a Ollanta, condenarán si o sí a la Sra. K, porqué no incluyó en su contabilidad la plata, porque no bancarizó, por que porque, no hay respuesta, si el dinero es lícito no tenía porque pitufear, tenia que bancarizar, tenía que están en sus libros de contabilidad, no hay nada de eso, nada, entonces será condenada por organización criminal a 35 años de cárcel, hay un montón de indicios y que hay un montón de testigos que corroboran eso, además el mafia esposo de la susodicha se enriqueció sin trabajar, de donde pacata mía, todo es lavado de activos aunque no interesa si fue dinero lícito o ilícito, el uso fue ilícito, Domingo Pérez debe estudiar el caso de Ollanta y ganará el juicio aunque después este fiscalucho tendrá que responder por el contrato asqueroso con Odebrecht.",2025-07-07 18:48:46+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Con la tesis de la jueza que condenó a Ollanta, condenarán si o sí a la Sra. K, porqué no incluyó en su contabilidad la plata, porque no bancarizó, por que porque, no hay respuesta, si el dinero es lícito no tenía porque pitufear, tenia que bancarizar, tenía que están en sus libros de contabilidad, no hay nada de eso, nada, entonces será condenada por organización criminal a 35 años de cárcel, hay un montón de indicios y que hay un montón de testigos que corroboran eso, además el mafia esposo de la susodicha se enriqueció sin trabajar, de donde pacata mía, todo es lavado de activos aunque no interesa si fue dinero lícito o ilícito, el uso fue ilícito, Domingo Pérez debe estudiar el caso de Ollanta y ganará el juicio aunque después este fiscalucho tendrá que responder por el contrato asqueroso con Odebrecht.",2025-07-07 18:48:38+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Con la tesis de la jueza que condenó a Ollanta, condenarán si o sí a la Sra. K, porqué no incluyó en su contabilidad la plata, porque no bancarizó, por que porque, no hay respuesta, si el dinero es lícito no tenía porque pitufear, tenia que bancarizar, tenía que están en sus libros de contabilidad, no hay nada de eso, nada, entonces será condenada por organización criminal a 35 años de cárcel, hay un montón de indicios y que hay un montón de testigos que corroboran eso, además el mafia esposo de la susodicha se enriqueció sin trabajar, de donde pacata mía, todo es lavado de activos aunque no interesa si fue dinero lícito o ilícito, el uso fue ilícito, Domingo Pérez debe estudiar el caso de Ollanta y ganará el juicio aunque después este fiscalucho tendrá que responder por el contrato asqueroso con Odebrecht.",2025-07-07 18:48:32+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Con la tesis de la jueza que condenó a Ollanta, condenarán si o sí a la Sra. K, porqué no incluyó en su contabilidad la plata, porque no bancarizó, por que porque, no hay respuesta, si el dinero es lícito no tenía porque pitufear, tenia que bancarizar, tenía que están en sus libros de contabilidad, no hay nada de eso, nada, entonces será condenada por organización criminal a 35 años de cárcel, hay un montón de indicios y que hay un montón de testigos que corroboran eso, además el mafia esposo de la susodicha se enriqueció sin trabajar, de donde pacata mía, todo es lavado de activos aunque no interesa si fue dinero lícito o ilícito, el uso fue ilícito, Domingo Pérez debe estudiar el caso de Ollanta y ganará el juicio aunque después este fiscalucho tendrá que responder por el contrato asqueroso con Odebrecht.",2025-07-07 18:48:13+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Si preguntas quien es el ladrón, un peruano o un japonés. La respuesta sería que entre los dos, el ladrón es el peruano.
Entre Keiko y Domingo Pérez, el ladrón es el segundo.",2025-07-07 18:33:03+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Caradura con tantas pruebas, siguen obstruyendo la justicia",2025-07-07 18:00:10+00:00
Keiko Fujimori,FZPFTXLAFQQ,C nota q. Esta entrevista está comprado x el fujiratismoooo,2025-07-07 17:39:26+00:00
Keiko Fujimori,FZPFTXLAFQQ,"La consigna de domingo perez y para eso le pagan es poner piedras en el camino de las elecciones a keiko y la justicia permite las tonterias del corrupto perez y mas aun  suspendido y investigado pero no pasa nada en el peru pais donde reinan los corruptos y hacen lo que quieren .
Reforma del poder judicial.",2025-07-07 17:37:09+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Buen taper d comidaaaa!!!!
Parrilla d la finaaasa
Jjj.
Keyko NUNCA +",2025-07-07 17:34:49+00:00
Keiko Fujimori,FZPFTXLAFQQ,Ese fiscal está loco le gusta estar robándole al pueblo y no hace nada,2025-07-07 17:33:41+00:00
Keiko Fujimori,FZPFTXLAFQQ,Este mequetrefe periodista  comenta con mezquindad  sobre este caso  ......  apoya al felipillo y tinterillo perez  sin descaro........un caradura,2025-07-07 17:08:47+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Solo un demagogo al que si le preguntan cuál es la raíz cuadrada de 9 y responde recitando la tabla de multiplicar del 2 le creería a Domingo Pérez, a Vizcarra y a los caviares, y la K ya debe retirarse nomás.",2025-07-07 16:49:43+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Todoa la culpa la tiene pere, vela, todp lo politizo ahora vemos la consecuencias",2025-07-07 16:47:06+00:00
Keiko Fujimori,FZPFTXLAFQQ,Trio de fujimorista,2025-07-07 16:40:43+00:00
Keiko Fujimori,FZPFTXLAFQQ,"A Domingo Pérez le preocupa la contrademanda por difamación, por eso le preocupa a los caviares la salida del cargo de la fiscal de la nación rojilla.",2025-07-07 16:38:55+00:00
Keiko Fujimori,FZPFTXLAFQQ,Para estos sinverguenzas todo esta mal. Los amigotes y el dinero van a favor de la corrupcion. Los jueces bailan al ritmo del chino. Y el mequetrefe del entrevistador otro sinverguenza. La deja que se despache. Jajaja,2025-07-07 16:30:32+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Ya pues domingo perez metete a alguin ala carcel ,nos harias felices , keiko ya esta cagada ,falta  la vieja esta precesada ,falta elian ,  y esta abogada flacuchenta  care momia   defiende aquiem?",2025-07-07 16:23:21+00:00
Keiko Fujimori,FZPFTXLAFQQ,Abogada de la diabla keyko no lo crean,2025-07-07 16:19:23+00:00
Keiko Fujimori,FZPFTXLAFQQ,Estos testaferros tintirillos este periodista y la otra tintirilla de KEIKO FUJIMORI son sus defensas son sus asesoras de una cabecilla testaferra  corrupta tiene una organización de testaferros FILIPILLOS....este periodista se afana como defensor de los ladrones corruptos Fujimoristas Montesenistas asesinos criminales.,2025-07-07 16:18:04+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Este delincuente Caviar no pasó examen varios fiscales Pérez y vela Marita Barreto son tremendos burros asnos , este juicio está años cada Rato hacen, Pérez y vela llevan su caso de Susana Villarran 25 años lo protege no le sentencia le protege es socia de iDL Gorrit Caviares delincuentes",2025-07-07 16:17:04+00:00
Keiko Fujimori,FZPFTXLAFQQ,"El loco lo que trata de hacer es lo mismo de siempre, ya se acercan las elecciones y hace todo lo posible por embarrar nuevamente a Keiko, ese es su trabajo en realidad, solo mantenerla con ese problema y le ha funcionado, Pero en algún momento este sujeto se va a caer.",2025-07-07 16:00:48+00:00
Keiko Fujimori,FZPFTXLAFQQ,Este periodista debe recibir dinero porque le da toda la pantalla a esta abogada de las mafias. Siempre es muy incisivo con todos menos con esta caradejebe!!  Ahí está parte de la corrupcion cuando le cede todo un programa de televisión a una abogada corrupta !!!,2025-07-07 15:51:14+00:00
Keiko Fujimori,FZPFTXLAFQQ,Pero quien es esa japonesa haragana no es presidenta no es nada para q le den importancia vive del partido q asvo,2025-07-07 15:36:01+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Inkreible la version de la ""Boga""... ODBRCH x q se autoinculpara de dar A.C. SI esto NO sucedio...Solo ""Imbeciles/Fanatikos"" se creen SU version...",2025-07-07 15:34:02+00:00
Keiko Fujimori,FZPFTXLAFQQ,Este periodista es un vendido corrupto,2025-07-07 15:33:55+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Finalmente...SI NO sentencian a la SraK. lo Logico es q el TC termine ""Anulando"" el Juicio contra los Humala...a mismos Hechos = Sentencia....",2025-07-07 15:24:24+00:00
Keiko Fujimori,FZPFTXLAFQQ,Keiko Fujimori desastre del peru,2025-07-07 15:22:59+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Cuestion de = ante la Ley...SI ya ""Sentenciaron"" a los Humala x A.C de ODBRCH, lo Logico es q = sea con la SraK./Claro siempre q SUS ""Padrinos"" CS/TC NO la BLINDEN...",2025-07-07 15:22:13+00:00
Keiko Fujimori,FZPFTXLAFQQ,Todos los partidos políticos  recibieron dinero esta bien q sean investigados así también deben ser con las ONG,2025-07-07 15:21:50+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Ese fiscalillo si estuviese trabajando en el sector privado, en una lo hubieran volado, pero lamentablemente fiscalía está tomada por rojos caviares",2025-07-07 15:21:08+00:00
Keiko Fujimori,FZPFTXLAFQQ,KEIKO FUJIMORY PIDE INDEMNIZACIÓN POR LAS MENTIRAS QUE DIJO DOMINGO PEREZ QUE DICEN,2025-07-07 15:19:15+00:00
Keiko Fujimori,FZPFTXLAFQQ,"RETROTRAJO, esa es la palabra correcta!",2025-07-07 15:15:59+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Ese inútil de José Domingo Pérez que carajos sigue en la fiscalía,que tipo más ignorante",2025-07-07 15:10:04+00:00
Keiko Fujimori,FZPFTXLAFQQ,Una burla y carcajada para Keiko que confía en una justicia podrida llena de caviares muy hábiles juristas sucios y todo gracias a su padre un imbecil! .,2025-07-07 14:59:01+00:00
Keiko Fujimori,FZPFTXLAFQQ,Gastando tanto dinero del estado el mequetrefe del fiscal perez solo pierde el tiempo y creo muchos no son keikistas ni fujimoristas pero ya la tomadura de pelo harta,2025-07-07 14:57:44+00:00
Keiko Fujimori,FZPFTXLAFQQ,Para tapar el caso Villaran,2025-07-07 14:56:13+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Esa palabra. No me han notificado? , pero todo el mundo lo sabe, está abogada es colmilluda.",2025-07-07 14:55:08+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Abogada, NO es Retrotrayó , se dice RETROTRAJO...",2025-07-07 14:50:45+00:00
Keiko Fujimori,FZPFTXLAFQQ,MOSTRA,2025-07-07 14:49:39+00:00
Keiko Fujimori,FZPFTXLAFQQ,Jajaja vale q se hace pública... Debidamente notificado..... La Ley es válida  así no te convenga ahora,2025-07-07 14:47:32+00:00
Keiko Fujimori,FZPFTXLAFQQ,Aquí hay delito de lavado de activos..... Tenemos q perseguir las mafias narko Korruptas.....,2025-07-07 14:44:48+00:00
Keiko Fujimori,FZPFTXLAFQQ,Oigan porque no hablan de Villaran en vez de hablar otra vez de Fujimori?,2025-07-07 14:38:45+00:00
Keiko Fujimori,FZPFTXLAFQQ,Otro cojudo haciéndose el periodista.,2025-07-07 14:36:09+00:00
Keiko Fujimori,FZPFTXLAFQQ,Por culpa de Keiko estamos jodidos por blinda a esa vaga de palacio,2025-07-07 14:34:43+00:00
Keiko Fujimori,FZPFTXLAFQQ,jajajja qué se puede esperar de Latina y de este periodista... tremendo CPP de la señora K!!!! xD,2025-07-07 14:31:42+00:00
Keiko Fujimori,FZPFTXLAFQQ,Que dice esta payasa loza que su patrocinada no es corrupta desgraciada maldita descendiente japonesa que tanto daño le hace al Perú deberían de una vez encerrarla,2025-07-07 14:30:58+00:00
Keiko Fujimori,FZPFTXLAFQQ,COLEGIO DE ABOGADOS EVALUAR QUITAR LA COLEGIATURA A ESTOS DEFENSORES DE D3LI NCU3N T3$,2025-07-07 14:21:49+00:00
Keiko Fujimori,FZPFTXLAFQQ,Ahora se entiende porque la seudo fiscal Patricia Benavides quería tomar La Fiscalía de la Nación.,2025-07-07 14:18:30+00:00
Keiko Fujimori,FZPFTXLAFQQ,🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮pura mafia,2025-07-07 14:16:48+00:00
Keiko Fujimori,FZPFTXLAFQQ,abogado....solo arreglan con fuscales y jueces corrupos....esa Vaga tiene que ir a la carcel....por canalla...de antes y de hoy,2025-07-07 14:15:22+00:00
Keiko Fujimori,FZPFTXLAFQQ,No judas pué jul.. te Stan diciendo q esta acreditado x la misma FISCALIAAAAAAAA!!!!!😂,2025-07-07 14:13:23+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Ay vv, la cosa es que seas buena abogada, no que pagues",2025-07-07 14:12:45+00:00
Keiko Fujimori,FZPFTXLAFQQ,Dios va destruir toda esta corrupción años hora dios va destruir todo estooo van ver,2025-07-07 14:12:41+00:00
Keiko Fujimori,FZPFTXLAFQQ,"la abogada mas de 10 años viviendo de este caso, cobrando mínimo 12k/mes, asistentes (3x7k/mes)... y con este caso hasta la jubilación... ah pero la sra k solo tiene sueldo de 10k de su partido y minimo gastos (casa 12k/mes + alimentacion 4k/mes + viajes y movibilidad 5k/mes)... asu mare su sueldo si que alcanza mucho jajajajja",2025-07-07 14:04:56+00:00
Keiko Fujimori,FZPFTXLAFQQ,Cuando el periodismo se desdibuja y pierde todo espíritu critico y memoria.,2025-07-07 14:02:08+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Condenada o no...todos sabemos que recibio millones de los corruptos. Porque ?.porque era bonita ?
Para que ?... para favorables cuando llegue al poder, la ductadora",2025-07-07 14:01:01+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Será q no recibió plata de Odebrecht y cómo se ve el país quien mueve, al contrario sería mal negociablemente hablando q entre Keiko para Odebrecht?",2025-07-07 14:00:11+00:00
Keiko Fujimori,FZPFTXLAFQQ,Que tal descaro la señora K!!!,2025-07-07 13:58:34+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Este parásito de Domingo Pérez tanto es el odio que le tiene a la Sra.K, que como sea la quiere ver presa.


Y como este parásito no hace, hizo lo mismo con la parasita de villaran igual que el 


Keiko no es culpable nunca fue funcionaría.


Detrás de todo esto está gorriti

Cada vez que se acercan las elecciones sale este parásito en contra de esta sra k",2025-07-07 13:42:37+00:00
Keiko Fujimori,FZPFTXLAFQQ,Ese domingo Peres ya está pasado de moda jajajajaja no mete preso a nadie puero chow,2025-07-07 13:38:21+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Llama poderosamente que opine la señora Loza sobre ""HABRÍA"", qué raro eh",2025-07-07 13:37:55+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Latina, keiko corupcion",2025-07-07 13:37:34+00:00
Keiko Fujimori,FZPFTXLAFQQ,Cabecilla del clan fujirrata corruptos zánganos,2025-07-07 13:37:06+00:00
Keiko Fujimori,FZPFTXLAFQQ,hahaha que mate de risa ver a Hudtwalker tratando de ser periodista sensato con esta abogada de korruptas para luego ponerse a insultar a otros periodistas que si la critican... provecho periodista komprado,2025-07-07 13:37:04+00:00
Keiko Fujimori,FZPFTXLAFQQ,El fiscalio de Domingo Pérez está desesperada por su aguinaldo,2025-07-07 13:31:33+00:00
Keiko Fujimori,FZPFTXLAFQQ,"No era delito que los candidatos recibieran aportes
Keiko es inocente y lo van a absolver",2025-07-07 13:26:28+00:00
Keiko Fujimori,FZPFTXLAFQQ,DOMINGO PEREZ UN INUTIIL Y TENEMOS  QUE MANTENERLO  CON NUESTROS IMPUESTOS .SON  PARÁSITOS ETERNOS.DEBE HABER MERITOCRACIA,2025-07-07 13:20:12+00:00
Keiko Fujimori,FZPFTXLAFQQ,Retrotrayó????,2025-07-07 13:17:39+00:00
Keiko Fujimori,FZPFTXLAFQQ,Cárcel para la fujirrata,2025-07-07 13:17:00+00:00
Keiko Fujimori,FZPFTXLAFQQ,"ESTE COMECHADO DEFIENDE A LOS FUJIMORI, NI TIENE SANGRE EN LA CARA, ES PARTE DE LA MAFIA",2025-07-07 13:16:47+00:00
Keiko Fujimori,FZPFTXLAFQQ,Déjate investigar PS con?,2025-07-07 13:13:54+00:00
Keiko Fujimori,FZPFTXLAFQQ,​​A veces me pregunto por qué la gente es tan estúp y no se da cuenta que los fiscales son los que han robado al país 15 años por 15 sueldos anuales por 15000 sole más asesores más los viajecitos a Brasil más permitir que odebrecht nos demande por 2000 millones de dólares.  Por qué la gente no piensa un poco más y no se da cuenta que los fiscales son unos estúpios inútiles Y en vez de perseguir choros se dedican a hacer política y seguir los designios de GORRITI Y Y SU MAFIA . JA,2025-07-07 13:11:29+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Zarta de burros e incompetentes la gana de perder el tiempo NO ERA DELITO , LA GANA DE.JODER jose domingo perez",2025-07-07 13:08:13+00:00
Keiko Fujimori,FZPFTXLAFQQ,Ese juez esta a favor de los corruptos y corruptas nada más,2025-07-07 13:04:38+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Estos ""Konchudos"" celebraban cuando a los Humala los ""Kanearon"" x A.C.; Consideraron a GJA/Krhncho como ""Heroes""... Claro, ellos tienen ""Padrinos"" q Anulan los Procesos...",2025-07-07 13:03:36+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Los Millones de las Kampañas Humala/Fuji terminaron en Mayoria en ""Manos"" de los Grandes Medios... Si ellos denunciaban pq lo Recibieron???",2025-07-07 12:58:44+00:00
Keiko Fujimori,FZPFTXLAFQQ,"CRISTIAN,WILLAX TE ESPERA,ERES MUCHO PARA LATINA.",2025-07-07 12:57:10+00:00
Keiko Fujimori,FZPFTXLAFQQ,Tú nos vienes tan mal para el país. El Perú no te quiere.,2025-07-07 12:57:06+00:00
Keiko Fujimori,FZPFTXLAFQQ,Loa aportes de campaña NO son DELITO entiendan brutos,2025-07-07 12:56:38+00:00
Keiko Fujimori,FZPFTXLAFQQ,No se olviden que Latina entrego dinero para su campaña de Keiko,2025-07-07 12:53:47+00:00
Keiko Fujimori,FZPFTXLAFQQ,"La cara de bruja es mitomana...eso lo aprendiò de su jefa...solo los corruptos, los delincuentes, y los descerebrados le podran creer q no sabía..",2025-07-07 12:53:11+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Dicen que la fiscalía esta politizada, es cierto.
Desde que el tirano dictador Fujimori corrompió abiertamente y sin escrúpulos el ministerio público para perpetuarse en el poder nada a cambiado hasta hoy, al contrario todo está peor.
La fiscalía insiste en 35 años de carceleria para el chotano Castillo, cientos de peruanos indígenas que fueron capturados con palos y piedras mientras marchaban por las calles pidiendo la renuncia de la Dinacha, continúan presos sin sentencia mientras miles de malandros venezolanos que fueron capturados con armas y granadas de guerra mientras extorsionaban o pedían cupos, extrañamente la fiscalía los dejó en libertad por falta de pruebas y demas leguleyadas legales, los deudos de los 70 peruanos indígenas muertos ejecutados extrajudicialmente por las fuerzas del orden, hasta hoy no encuentran justicia y por aún la fiscalía dizque ""continúa investigando""
Hay algún despiadado y desalmado corrupto fujimorista en prisión?
En conclusión, la fiscalía esta politizado al servicio del fujimorismo!!!",2025-07-07 12:49:21+00:00
Keiko Fujimori,FZPFTXLAFQQ,Ahora le toca a la abogada en la pantalla de uno de sus complices...,2025-07-07 12:49:14+00:00
Keiko Fujimori,FZPFTXLAFQQ,"Si esta abogada dice que keiko es inocente debe colaborar en el juicio y demostrar que no son corruptos y punto, Puro show.",2025-07-07 12:48:25+00:00
Keiko Fujimori,FZPFTXLAFQQ,"No simpatizo con la K pero, en esta ocasión el fiscal sigue con si terquedad NO ENTIENDE q esta acusación esta mal plateada en esa época los dineros q se daba a los partidos NO ERAN DELITOS. Se va a volver a caer el juicio. 
Tiene q acusar por OBSTRUCCIÓN A LA JUSTICIA....",2025-07-07 12:46:37+00:00
Keiko Fujimori,FZPFTXLAFQQ,Ese fiscal esta yendo a practicar o a trabajar en la fiscalía? 😮,2025-07-07 12:39:37+00:00
Keiko Fujimori,FZPFTXLAFQQ,"¿Por qué no invitan a un abogado defensor más objetivo y no interesado para que informe sobre el tema?
Es obvio que se hará una defensa mediática que desinforma al público.",2025-07-07 12:39:35+00:00
Keiko Fujimori,FZPFTXLAFQQ,"No llores fujimorista, abogada y periodista son ratas fujiapristas.",2025-07-07 12:37:20+00:00
Keiko Fujimori,FZPFTXLAFQQ,Le falta su escoba a Guliana,2025-07-07 12:34:30+00:00
Keiko Fujimori,FZPFTXLAFQQ,"ACLARANDO A LA ABOGADA DE KEIKO
PRINERA VERSION  LE ENTREGUE DINERO A YOSHIYAMA EN UNA CASA 
SEGUNDA VERSION  LE DI DINERO A UNA PERSONA DE 50 AÑOS  ETC 
TERCERA VERSION DEJE UNA MALETA EN LA MEDA 
NO SON VERSIONES EQUIVOCADAS  SON 3 NARRACIONES DE 3 ENTREGAS DE DINERO DISTINTAS  QUE LA ABOGADA QUIERE MEZCLAR Y CONFUNDIR DICIENDO QUE FUE UNA SOLA RECORDEMOS QUE KEIKO POSTULO MAS DE 3 VECES A CARGO POLITICO",2025-07-07 12:33:02+00:00
Keiko Fujimori,S20tqkgNqRI,Leo los comentarios... y sólo veo defendiendo a un Impresentable que no sabe presentar una acusación,2025-07-07 14:15:47+00:00
Keiko Fujimori,S20tqkgNqRI,Abogada de DELINCUENTES,2025-07-07 12:57:29+00:00
Keiko Fujimori,S20tqkgNqRI,"Ya saben
No a Keiko en las próximas elecciones",2025-07-07 12:44:27+00:00
Keiko Fujimori,S20tqkgNqRI,Esa tipa también está involucrada,2025-07-07 12:37:38+00:00
Keiko Fujimori,S20tqkgNqRI,Ya acaben con esta novela!!! La china adentro y devuelve el billete,2025-07-07 12:27:31+00:00
Keiko Fujimori,S20tqkgNqRI,"Es asqueroso el proceder de esa panda de abogados, que funcionan al margen de la ley, PODRIDA que realiza el congreso secuestrado por sus, patrocinadores. Utilizan hasta la geta que tienen.",2025-07-07 12:10:44+00:00
Keiko Fujimori,S20tqkgNqRI,"Pero si dicen que no tienen nada que esconder oirque son inocentes, porque dilatan por tenas administrativos...?",2025-07-07 11:59:35+00:00
Keiko Fujimori,S20tqkgNqRI,Está fea abogada.... Solo defiende ratass apestoooisas y corruptas.... Apristonas y fujiapristonas... Estás elecciones debemos desaparecer las.,2025-07-07 11:57:45+00:00
Keiko Fujimori,S20tqkgNqRI,Cárcel para la lidereza y su banda de cocteles que empeña al Peru en cada elección y se llena los bolsillos engañando a sus seguidores de fuerza para robar!,2025-07-07 11:57:44+00:00
Keiko Fujimori,S20tqkgNqRI,Keiko a la cana ya,2025-07-07 11:34:37+00:00
Keiko Fujimori,S20tqkgNqRI,"LA NOVELA KEYKO 
LA TELEYORONA KEYKO 
EL LARGO METRAJE QUE DURA AÑOS KEYKO 
MUCHOS FISCALES SE VAN A JUBILAR CON ESTE CASO.
HASTA LOS ABOGADOS DE KEYKO 
"" PASARÓN LOS AÑOS""
SE NOTA 
HASTA SE VOLVIERON MAS SERIOS CÓMO LOZA.
CÓMO TERMINA?
CUANDO TERMINA??
TENEMOS ABOGADOS DE TODOS LOS NIVELES 
CÓMO LOS 16 ABOGADOS ÁRBITROS DE ODEBRECHT 
INCLUÍDO ABANTO ( HOY ABOGADO DE LA EX FISCAL CORRUPTA)
16 ABOGADOS ÁRBITROS QUE LE JUGARON SUCIO AL ESTADO PERUANO.
TENEMOS ABOGADOS EN SU MAYORÍA EN EL CONGRESO 
Y CÓMO ESTÁN TRABAJANDO POR LA POBLACIÓN Y LOS INTERESES DE LA NACIÓN PERUANA??
MAS DE LA MITAD DE LOS POLÍTICOS DEL CONGRESO 
ESTÁN INVESTIGADOS POR LA JUSTICIA PERUANA 
( Y ESTO SE REPITE EN LAS NACIONES DE LATINOAMÉRICA 
CASI TODOS LOS POLÍTICOS DE LOS CONGRESOS DE ESAS NACIÓNES COMO EN PERÚ SON ABOGADOS)
MUCHOS ABOGADOS DE HOY 
Y POLÍTICOS TRADICIONALES 
CUANDO NIÑOS O JÓVENES 
TUVIERON UN ÍDOLO 
DE T.V.
"" EL DOCTOR CHANTADA"".
A MUCHOS POLÍTICOS
AUTORIDADES CORRUPTAS 
EL DOCTOR CHANTADA 
LES MOSTRÓ LOS PRIMEROS PASOS 
EN CARGOS PÚBLICOS 
Y CÓMO FUNCIONABAN 
LOS CUELLOS BLANCOS 
Y LOS HERMANITOS DEL CNM 
( HOY JNJ)
QUE S SU VEZ ELIJAN FISCALES Y JUECES 
POR FAVORES POLÍTICOS 
POR CAMBIÓ DE FAVORES 
POR DINERO 
PARA UNA VEZ DESIGNADOS 
AYUDEN EN PROCESOS,ETC.
AHORA LA JNJ 
"" DEBE ENTENDER QUE ESA PELÍCULA YA LA VIMOS LOS PERUANOS""
NO MAS CNM 
NO MAS CUELLOS BLANCOS 
NO MAS ABOGADOS ÁRBITROS 
QUE JUEGUEN CONTRA LOS INTERESES PERUANOS POR PLATA COMO CANCHA?
NO MAS POLÍTICOS INVESTIGADOS 
QUE NO TRABAJAN POR LA POBLACIÓN.
ELEGIR PATRIOTAS 
NO POLÍTICOS TRADICIONALES.
NI POLÍTICOS FAMOSOS Y MENOS DE APP.
"" NO MAS DOCTORES CHANTADAS NI EN CARGOS PÚBLICOS NI EN LA ADMINISTRACIÓN DE JUSTICIA"".
LOS PERUANOS NO SOMOS ESTÚPIDOS.",2025-07-07 11:01:21+00:00
Keiko Fujimori,S20tqkgNqRI,"Abogada que pierde todo, pero gana en el TC, umm",2025-07-07 10:59:03+00:00
Keiko Fujimori,S20tqkgNqRI,"Recordemos que Keiko era congresista cuando recibió millones de dolares por empresarios, eso no es delito!! Sólo a Christian se le puede pasar eso!!!",2025-07-07 10:57:22+00:00
Keiko Fujimori,S20tqkgNqRI,¿Porque quieres q Jose domingo se retire? Miedo?😂,2025-07-07 10:55:28+00:00
Keiko Fujimori,S20tqkgNqRI,"Dice, los hechos no constituyen delito, sin embargo ya existe una condena por aportes de campaña a Humala, como no!!!",2025-07-07 10:55:12+00:00
